TABLE_NAME	COLUMN_NAME
FACULTATIVE	ATTACHMENT_POINT_AMT
FACULTATIVE	REINSURER_CD
FACULTATIVE	REINSURER_NM
FACULTATIVE	REINSURER_TYPE_CD
FACULTATIVE	CEDED_PCNT
FACULTATIVE	PRIORITY_NO
FACULTATIVE	SOURCE_SYSTEM_ID
FACULTATIVE	CREATE_TS
FACULTATIVE	UPDATE_TS
LIMIT_PROPERTY_STRUCTURE	LIMIT_PROPERTY_STRUCTURE_ID
LIMIT_PROPERTY_STRUCTURE	RISK_PERIL_PRODUCT_ID
LIMIT_PROPERTY_STRUCTURE	BLANKET_AGG_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	BLANKET_AGG_LIMIT_CD
LIMIT_PROPERTY_STRUCTURE	BLANKET_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	BLANKET_LIMIT_CD
LIMIT_PROPERTY_STRUCTURE	BLANKET_BUILDING_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	BLANKET_BUILDING_LIMIT_CD
LIMIT_PROPERTY_STRUCTURE	BLANKET_CONTENTS_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	BLANKET_CONTENTS_LIMIT_CD
LIMIT_PROPERTY_STRUCTURE	BLANKET_BI_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	BLANKET_BI_LIMIT_CD
LIMIT_PROPERTY_STRUCTURE	BLANKET_COMBINED_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	BLANKET_COMBINED_LIMIT_CD
LIMIT_PROPERTY_STRUCTURE	SITE_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	COMBINED_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	BUILDING_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	CONTENTS_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	BI_LIMIT_AMT
LIMIT_PROPERTY_STRUCTURE	SOURCE_SYSTEM_ID
LIMIT_PROPERTY_STRUCTURE	CREATE_TS
LIMIT_PROPERTY_STRUCTURE	UPDATE_TS
LIMIT_PROPERTY_STRUCTURE	LIMIT_HASH_TXT
LOCATION	LOCATION_ID
LOCATION	PLACE_DESC
LOCATION	STREET_ADDRESS_1_TXT
LOCATION	STREET_ADDRESS_2_TXT
LOCATION	STREET_ADDRESS_3_TXT
LOCATION	STREET_ADDRESS_4_TXT
LOCATION	CITY_NM
LOCATION	STATE_PROVINCE_CD
LOCATION	STATE_PROVINCE_NM
LOCATION	POSTAL_CD
LOCATION	COUNTY_CD
LOCATION	COUNTY_NM
LOCATION	COUNTRY_CD
LOCATION	COUNTRY_NM
LOCATION	COUNTRY_SCHEMA_CD
LOCATION	SECTION_TXT
LOCATION	RANGE_TXT
